Hello World
at : 1848
man's : 132
as : 1848
quarter-past : 132
still : 264
neither : 132
throng : 132
never : 660
great : 264
which : 396
see : 396
ran : 264
take : 132
an : 132
there : 1056
inside : 132
off : 264
scalded : 132
provision--returning : 132
nobody : 132
sewed : 132
they : 1848
you've : 132
no : 264
outermost : 132
leivers : 264
glow : 264
forgotten : 132
campion-flowers : 132
of : 4884
help : 132
among : 132
says : 132
on : 1584
only : 792
her : 4356
branches : 132
heart : 396
forehead : 264
or : 792
hold : 132
scent : 264
sitting : 132
them : 264
then : 924
will : 264
lips : 132
ought : 132
small : 132
upon : 132
home : 396
getting : 264
broad : 132
moment : 132
thought : 264
road : 396
flared : 132
followed : 264
across : 264
roused : 132
looking : 264
clear : 132
gained : 132
heard : 132
rather : 660
me : 132
closed : 132
kindle : 132
similar : 132
clock : 132
willey : 132
beautiful : 132
waited : 132
don't : 1320
it's : 132
delicious : 132
my : 396
studying : 132
splashing : 132
within : 132
earth : 132
disgusting--bits : 132
you're : 264
marks : 132
silhouette : 132
being : 132
north-west : 132
spoon : 132
frowning : 132
him : 1716
where : 132
middle : 132
eight : 264
nibbled : 132
love : 132
jim : 132
almost : 264
pine-trees : 132
more : 396
sky : 132
his : 4620
when : 1584
none : 132
darkness : 264
everywhere : 132
trailing : 132
such : 396
bed : 132
suck : 132
meant : 264
heavy : 132
dusk : 132
spilt : 132
paul : 1188
mother : 924
strong : 132
late : 660
this : 528
gaby : 132
way : 132
wondering : 132
psychical : 132
from : 924
while : 132
fretting : 132
was : 6204
real : 132
loth : 132
trailed : 132
if : 528
able : 132
seemed : 264
path : 132
read : 132
spent : 132
between : 660
those : 132
is : 660
it : 2772
afternoon : 132
gets : 132
your : 528
into : 1056
loved : 132
growing : 264
past : 132
taught : 132
know : 396
in : 4620
deserted : 132
away : 396
two : 528
anxious : 132
hurt : 264
wednesday : 132
felt : 396
blue : 132
looked : 924
unconscious : 132
scientific : 132
night : 132
proud : 132
things : 264
satisfied : 132
wood : 132
thrilled : 132
strand : 132
knew : 396
snapped : 132
miriam's : 132
yellow : 132
its : 396
eyes : 528
strange : 132
forward : 264
interest : 132
lifted : 264
bosses : 132
lovely : 132
along : 132
alone : 132
cool : 132
stumbled : 132
going : 264
how : 132
waiting : 132
stimulated : 132
soul : 528
under : 132
blood : 132
expanded : 132
always : 264
pure : 132
urged : 132
dropped : 132
conscious : 264
wild-rose : 132
coming : 264
warmth : 264
own : 132
briers : 132
we : 264
face : 132
sort : 132
simple : 132
next : 132
sought : 132
communion : 264
splashed : 132
herod's : 132
robbed : 132
run : 132
reproached : 132
exposed : 132
personal : 132
happy : 264
worked : 264
best : 132
gold : 132
hair : 264
hard : 132
crept : 132
goodness : 132
later : 132
lingered : 132
back : 264
come : 264
us : 132
seen : 132
seem : 132
up : 660
produced : 132
william's : 132
feeling : 264
gladly : 132
down : 660
to : 7524
both : 528
debates : 132
become : 132
somewhere : 132
labouring : 132
must : 396
expectant : 132
after : 396
care : 132
dark : 396
jordan's : 132
bush : 264
fields : 132
burned : 132
so : 1716
mouth : 132
behind : 132
white : 396
pale : 132
gone : 132
shone : 132
youth : 264
miriam : 1584
that : 1188
anger : 264
than : 264
argued : 132
crest : 132
got : 132
walking : 132
can : 132
about : 264
land : 396
children : 132
setting : 132
elder : 132
bitterness : 132
hand : 396
laces : 132
grumble : 132
ivory : 264
honeysuckle : 132
sorrel-heads : 132
too : 396
drawn : 132
girls : 132
feel : 396
greying : 264
strength : 132
hugging : 132
you : 2244
chill : 264
hastening : 132
soon : 132
avoided : 132
anything : 396
learned : 132
whoever : 132
weak : 132
high : 264
certain : 132
our : 132
blind : 132
gleamed : 132
very : 792
out : 924
for : 1716
shake : 132
angry : 264
sarcastic : 132
kissed : 132
stark : 132
whether : 132
went : 1320
glamour : 132
open : 264
are : 264
damp : 132
tree : 264
can't : 396
shadow : 132
mile : 132
working : 132
others : 132
hours : 132
art : 132
roses--a : 132
did : 264
again : 264
like : 1452
boil : 132
not : 1584
many : 132
bubble : 132
harden : 132
now : 132
sat : 132
stars : 132
say : 660
saw : 1056
some : 264
suddenly : 132
might : 396
passionately : 132
put : 132
pair : 132
annie's : 132
dew : 132
failed : 132
pain : 132
contact : 264
wanted : 792
loft : 132
mind : 396
boots : 132
want : 132
algebra : 132
just : 396
slowly : 264
edge : 132
edgar : 396
mock : 132
corner : 132
let : 396
walked : 528
whilst : 132
already : 264
should : 264
wouldn't : 396
point : 264
fog : 132
afternoons : 132
brother : 132
annie : 264
ten : 132
but : 1320
old : 132
mother's : 264
sleath : 132
little : 132
show : 132
travel : 132
been : 660
together : 132
cruelly : 132
were : 1584
vaguely : 132
turned : 528
three : 132
sniffing : 132
drew : 132
sure : 132
work : 264
thrown : 132
sense : 132
himself : 264
knows : 132
threw : 132
roses : 264
rest : 132
west : 132
delirium : 132
call : 132
warm : 132
voice : 132
have : 924
one : 792
pretty : 132
because : 264
girl : 132
gazing : 132
fine : 132
find : 132
with : 3960
directing : 132
flinging : 132
vision : 132
naturally : 132
glanced : 132
resented : 132
the : 14388
came : 528
up-pricked : 132
beside : 132
coolness : 132
shoulder : 132
lads : 132
instead : 132
summer : 132
headstocks : 132
started : 132
missed : 132
their : 528
miss : 132
mist : 132
File name: input/input_04.txt
said : 2112
praised : 132
higher : 132
parcel : 132
panting : 132
over : 264
time : 132
joined : 132
she : 3036
features : 132
began : 264
coldly : 132
right : 132
black : 132
asked : 132
blooms : 132
told : 132
he : 6996
meet : 132
conditions : 132
anthony's : 132
pocket : 132
he's : 264
touch : 132
discuss : 132
fist : 132
air : 132
explain : 132
decent : 132
queer : 132
before : 264
stormed : 132
six : 132
partly : 264
side : 132
could : 396
wives : 132
left : 132
tell : 396
do : 660
lived : 132
stool's : 132
evening : 264
ridiculous : 132
look : 528
stood : 396
enjoyed : 132
a : 6600
gi'e : 132
i : 1980
yer : 132
new : 264
cobbler : 264
what : 132
nothing : 132
having : 264
clever : 132
morel--at : 132
yet : 264
that--brazen : 132
fancy : 264
basis : 132
danced--this : 132
took : 264
spite : 132
by : 396
ma'e : 132
enough : 396
long : 264
same : 264
who : 1188
height : 132
hesitated : 132
would : 792
any : 264
hosts : 132
stool-harsed : 132
snipey : 132
derived : 264
bank : 132
everybody : 132
had : 1452
be : 1188
think : 132
occasionally : 132
get : 528
german : 132
learn : 132
jaw : 132
much : 132
jollily : 132
and : 6072
rising : 132
bourgeois : 132
played : 132
often : 132
colliers : 132
better : 132
against : 132
i'm : 132
make : 132
good-looking : 264
straight : 132
room : 132
thing : 132
morel : 2112
husband : 132
business : 132
meets : 132
lad : 396
met : 264
treats : 132
wit : 132
damsel : 132
showing : 132
men : 132
co-operative : 132
coat : 132
tall : 132
all : 528
talk : 132
reached : 132
lessons : 132
lay : 132
clenched : 132
at : 1980
as : 660
still : 264
torn : 264
wik : 132
never : 396
great : 132
which : 528
ran : 396
see : 396
i'll : 132
there : 792
an : 792
suit : 264
off : 264
brown : 132
britches : 132
boy : 396
why : 264
brimmed : 132
william : 660
they : 528
knowing : 132
reason : 132
book-keeper : 132
no : 396
you've : 132
collar : 264
french : 132
flower-like : 132
bother : 132
baffled : 132
of : 4752
help : 132
wholesale : 132
bones : 132
social : 132
on : 2112
only : 396
her : 2112
fully : 132
forgetting : 132
heart : 264
church : 132
hold : 660
done : 264
job : 132
son : 396
bad : 132
board : 132
pursuit : 132
flew : 132
suppose : 132
snatched : 132
fled : 132
sitting : 132
them : 132
then : 924
indeed : 132
getting : 396
home : 528
most : 132
thought : 132
highland : 264
looking : 264
billiards : 132
tr'a : 132
mother--and : 132
rather : 660
closed : 132
me : 264
situation : 132
similar : 132
creature : 132
don't : 792
it's : 264
my : 924
studying : 132
tales : 132
whereupon : 132
dazzling : 132
clergyman : 132
eager-looking : 132
club : 132
attached : 132
on'y : 132
baggages : 132
cut : 264
telling : 132
you're : 264
sometimes : 264
monday : 264
being : 132
him : 1056
more : 528
his : 5280
rare : 132
when : 1452
none : 264
younger : 132
approve : 132
fumed : 132
such : 132
kinds : 132
liked : 132
meant : 132
finger : 132
miserable : 132
paul : 132
mother : 792
strong : 132
dress : 132
likes : 132
called : 132
this : 264
torkard--considered : 132
jack : 132
grudge : 132
way : 132
writing : 264
proudly : 132
from : 1452
tribute : 132
father : 132
was : 6072
hucknall : 132
real : 264
sight : 264
pit-bottle : 132
if : 264
seemed : 264
fancy-dress : 132
read : 132
treated : 132
shillings : 264
between : 264
do--the : 132
commanded : 264
rip : 132
is : 660
dodged--as : 132
it : 2112
town--to : 132
standard : 132
errant : 132
pinched : 132
your : 1056
loved : 132
taught : 132
know : 660
in : 3696
rapid : 132
fitted : 132
away : 132
two : 132
felt : 264
accidentally : 132
blue : 132
sprang : 132
wife : 264
hostile : 132
night : 396
proud : 264
pit : 528
things : 132
earn : 264
also : 264
found : 264
sixpenny-hops : 132
nice : 132
received : 132
its : 264
ready : 132
strange : 132
fourteen : 132
place : 132
indirrubber : 132
going : 660
under : 132
quiet : 132
kitchen : 132
always : 264
yarning : 132
thirty : 132
rushed : 264
afraid : 264
lot : 132
own : 396
twelve : 132
low : 132
deepest : 132
women's : 132
we : 132
face : 132
offered : 132
sort : 132
eve : 132
i've : 132
referring : 132
bestwood : 264
run : 396
running : 264
pit-dirt : 132
life : 132
easy : 132
truck-end : 132
best : 132
earned : 132
caught : 132
hair : 132
nineteen : 132
news : 132
come : 528
back : 396
front : 132
young : 132
up : 264
repeated : 396
picked : 132
gave : 396
william's : 132
towering : 132
doesn't : 132
keen : 132
down : 264
week : 132
to : 5676
grocery : 132
sports : 132
supposed : 132
you'll : 132
busy : 132
round : 132
good : 264
ended : 132
descriptions : 132
didn't : 264
after : 528
friends : 132
who's : 132
shorthand : 132
taken : 264
what's : 132
sniffed : 132
whose : 132
so : 1584
who'd : 132
behind : 132
pale : 132
gone : 132
size : 132
spun : 132
that : 1716
than : 528
shop--that : 132
whom : 132
got : 1188
immediately : 132
shaped : 132
can : 132
cap : 264
about : 660
children : 396
townlet : 132
good-nature : 132
horse-chestnut : 132
replied : 132
too : 264
stammering : 132
glaring : 264
girls : 132
banging : 132
you : 1980
regret : 132
ripped : 132
consort : 132
learned : 132
sons : 132
ha'e : 132
strife : 132
dost : 132
our : 264
wear : 132
brief : 132
very : 792
out : 396
for : 1848
angry : 132
went : 396
insane : 132
ringing : 132
are : 132
shouldn't : 132
guild : 132
occasions : 132
glad : 132
did : 528
matters : 132
like : 792
fair : 132
shall : 264
non : 132
not : 1188
he'll : 132
sat : 264
now : 396
prize : 132
trembled : 132
afore : 132
ask : 264
cried : 264
some : 528
suddenly : 528
put : 396
loud-mouthed : 132
blushing : 132
fiery : 132
girl--seemed : 132
shouted : 660
money : 132
starting : 132
mind : 132
want : 528
end : 132
just : 132
anthony : 132
walked : 132
let : 132
speak : 132
should : 132
chair : 132
nursed : 132
annie : 132
horror : 132
alfy's : 132
shop : 132
ten : 264
old : 528
but : 1584
hated : 132
hypnotised : 132
little : 132
been : 264
glared : 264
were : 396
turned : 264
there's : 132
sure : 264
except : 132
things--william : 132
son's : 132
rough : 132
himself : 132
threw : 132
spoilt : 132
clerk : 132
friend : 132
ter : 132
unpack : 132
stop : 132
dancing : 132
call : 132
other : 396
have : 132
one : 132
vixen : 132
thrash : 132
tearing : 132
contained : 132
flame : 132
because : 528
hanging : 132
girl : 396
protected : 132
willam : 132
wor : 264
bonnet : 132
cobblers : 132
mean : 132
they're : 264
maiden : 132
won : 132
pulled : 132
find : 264
inkstand : 132
office : 132
with : 2772
sixteen : 132
matter : 132
poor : 132
grievance : 132
the : 12012
came : 924
women : 528
viking : 132
adam : 132
instead : 132
lady : 132
pushed : 132
smashed--seventeen : 132
benefits : 132
their : 1056
first : 264
File name: input/input_05.txt
blazing : 132
forgave : 132
said : 528
father's : 264
continued : 264
until : 264
answered : 132
trot : 132
time : 132
over : 132
began : 132
she : 5280
brow : 132
something : 132
black : 264
arthur : 132
told : 132
answer : 132
other--amuse : 132
wide : 132
he : 8712
sleep : 132
few : 132
doubted : 132
uttered : 132
fist : 528
view : 132
big : 396
go : 792
practise : 132
before : 264
made : 396
arabella's : 132
drawing : 132
trouble : 132
shouts : 132
demoniacal : 132
mad : 132
leave : 132
slightly : 264
could : 792
grew : 264
left : 132
tell : 396
do : 924
lived : 132
sheer : 132
evening : 132
sheet : 132
bear : 132
look : 132
purple : 132
anxiety : 132
a : 8052
forgiven : 132
won't : 132
morning : 132
living : 132
till : 132
i : 1716
new : 396
days : 264
what : 792
implored : 132
nothing : 132
smashed : 132
wind-swept : 132
having : 396
yet : 396
drop : 132
stupid : 132
took : 264
aware : 132
disturbed : 132
by : 264
enough : 132
long : 528
has : 132
close : 132
band : 132
couldn't : 396
would : 924
fiercer : 132
any : 132
medley : 132
light : 264
bang : 132
had : 2112
be : 924
think : 396
get : 264
thursday : 132
learn : 132
far : 132
rattle : 132
shavings : 132
much : 396
and : 9636
particularly : 264
near : 132
played : 132
often : 132
against : 132
brass : 132
day : 264
i'm : 264
make : 132
thing : 396
hope : 264
neck : 132
lamp-post : 132
set : 132
morel : 1584
through : 264
beast-like : 132
sister : 132
throw : 132
wake : 132
men : 132
all : 1188
houses : 132
five : 132
snarling : 132
lay : 396
swung : 132
at : 3168
man's : 132
as : 2112
finished : 132
still : 264
forgiving : 132
equal : 132
amused : 132
candlestick : 132
wicked : 132
moved : 132
expected : 132
never : 396
great : 264
which : 1188
see : 264
stand : 132
i'll : 132
take : 264
there : 528
inside : 132
an : 528
bottoms : 132
off : 396
rejoiced : 132
boy : 396
why : 264
fabulous : 132
scented : 132
cup : 132
they : 2112
william : 1320
drumming : 132
you've : 132
no : 528
piercing : 132
street : 132
birds : 132
of : 8712
twisted : 132
among : 132
on : 2508
only : 132
her : 2508
tramp : 132
convex : 264
itself : 132
morel's : 264
heart : 132
forehead : 132
or : 1056
done : 264
rabid : 132
intensely : 132
flew : 132
breathed : 132
sitting : 132
them : 660
hoped : 264
then : 1716
silence : 396
will : 792
children's : 132
home : 792
day's : 264
joy : 132
easily : 132
most : 132
thought : 132
space : 132
occurred : 132
waxen : 132
heard : 396
rolling : 132
rather : 264
me : 924
built : 132
helpless : 132
melt : 132
water : 132
scholarship : 132
green : 132
waited : 132
don't : 660
my : 924
studying : 132
begun : 132
hollow : 132
settle : 132
standing : 132
nose : 132
midst : 132
save : 132
last : 264
second : 132
monday : 264
terror : 132
intense : 132
study : 132
him : 1584
needn't : 132
every : 264
eight : 132
almost : 924
more : 528
his : 6204
hit : 132
family : 396
when : 1056
none : 132
darkness : 132
eye : 132
such : 132
notepaper--swallows : 132
liked : 396
saddened : 132
pleasure : 132
loud : 132
winter : 264
paul : 1716
mother : 1188
whole : 396
late : 132
called : 132
tallow : 132
this : 528
polish : 132
wax : 132
way : 132
from : 1848
grip : 132
suffered : 132
sends : 132
smaller : 132
while : 132
father : 924
fretting : 132
was : 6600
if : 792
seemed : 924
shrieking : 132
read : 660
arms : 132
you'--i : 132
lonely : 132
it : 1716
doll : 660
your : 528
into : 660
loved : 132
growing : 264
in : 4092
know : 528
filling : 132
human : 132
poked : 132
two : 132
away : 264
anxious : 132
hurt : 132
twenty : 396
felt : 396
blue : 132
looked : 132
hidden : 132
brother--he : 132
removed : 132
night : 264
proud : 132
things : 264
spread : 132
daren't : 132
remained : 396
shout : 132
tomboy : 132
hearts : 132
nice : 132
corners : 132
rage : 132
its : 132
ready : 264
hung : 132
turning : 132
showed : 264
eyes : 396
danced : 132
lerky : 132
candle : 132
although : 132
chords : 132
drink : 132
year : 264
forgot : 264
along : 132
entirely : 132
place : 264
towed : 132
going : 396
dances : 132
attentive : 132
how : 264
waiting : 132
under : 396
soul : 132
blood : 132
kitchen : 132
quiet : 396
became : 264
always : 396
calls : 132
thirty : 132
rushed : 132
conscious : 264
coming : 264
own : 264
wild-cats : 132
stew-jar : 132
sweat : 132
try : 132
we : 132
abandoned : 132
harp : 132
silent : 264
wildly : 132
owns : 132
face : 132
press : 132
killed : 132
give : 264
i've : 132
pounds : 132
hob : 132
ivy : 132
iron : 132
s'll : 132
shrieked : 132
life : 132
happy : 264
older : 132
missis : 132
reply : 132
caught : 132
drowned : 132
hard : 132
hair : 132
adored : 132
poured : 132
back : 132
come : 792
front : 264
seem : 132
young : 396
repeated : 396
up : 264
gave : 132
weep : 132
fished : 132
feeling : 264
string : 132
laid : 132
upstairs : 132
d'you : 132
down : 396
dog : 132
part : 132
asleep : 132
is--and : 132
to : 8712
both : 132
paul's : 132
pull : 132
you'll : 132
round : 528
meantime : 132
must : 132
didn't : 396
after : 528
grief : 264
forget-me-nots : 132
departure--he : 132
dark : 396
care : 132
taken : 132
tickets : 132
crash : 132
burned : 264
sniffed : 132
so : 2376
white : 264
pale : 132
shone : 132
that : 1320
frame : 132
embers : 132
rub : 132
than : 264
burn : 132
got : 396
cries : 132
can : 396
sudden : 132
about : 264
children : 1452
breathing : 132
well : 264
raced : 132
interrupted : 132
shrieks : 132
too : 264
glaring : 132
yours : 132
top : 264
thrust : 132
altar : 132
consent : 132
tricks : 132
sholl : 132
ways--you've : 132
feet : 132
you : 2772
soon : 132
forty : 132
instantly : 132
sewing : 132
months : 264
school : 264
beaten : 132
learned : 132
fragments : 132
grow : 132
drops : 132
ha'e : 132
high : 132
tight : 132
dost : 132
elders : 132
very : 660
out : 792
for : 1980
accept : 132
hundred : 264
everything : 132
house : 528
people : 132
whether : 264
went : 792
thy : 132
sacrifice : 264
tree : 396
fervent : 132
watching : 132
can't : 264
file : 264
refused : 132
yourself : 132
heels : 132
commanding : 132
wind : 396
glad : 264
did : 396
table : 132
like : 1056
without : 132
fair : 132
huge : 132
not : 1188
stockinged : 132
now : 264
sat : 660
start : 132
replies : 132
satisfaction : 132
fretted : 132
say : 132
tap : 132
cried : 264
dreary : 132
ask : 132
some : 660
outside : 132
crouched : 132
smell : 132
might : 264
put : 660
jumping : 132
pain : 132
trying : 132
wept : 132
kind : 132
wanted : 264
private : 132
watched : 264
they've : 264
knees : 132
giving : 132
boots : 264
end : 132
want : 528
covered : 132
just : 264
post : 132
brim : 132
corner : 132
let : 660
lime : 132
anguish : 132
should : 132
broken : 264
fearfully : 132
thing--your : 132
jumped : 132
prayed : 396
annie : 528
horror : 132
belonged : 132
but : 2112
old : 264
hated : 264
hate : 132
afterwards : 132
saturday's : 132
fists : 264
little : 528
used : 132
tea : 264
been : 132
though : 132
hasn't : 132
heap : 132
hear : 132
were : 1188
there's : 132
three : 132
longer : 132
saturday : 132
head : 264
drew : 132
work : 264
except : 132
letter : 132
lull : 132
nasty : 396
twenty--he : 132
thuds : 132
property : 132
sense : 264
bristling : 132
saucepan : 132
swollen : 132
himself : 132
bully : 132
girl's : 132
threw : 132
rejoice : 132
ducked : 132
even : 132
wore : 132
west : 132
scratching : 132
stop : 264
dancing : 132
call : 132
other : 264
voice : 132
booming : 132
have : 1188
one : 1056
pretty : 132
let's : 132
because : 396
another : 264
fond : 132
sofa : 132
share : 132
sharing : 132
full : 132
peculiarly : 132
scarcely : 132
rule : 132
finding : 132
extracts : 264
making : 132
they're : 132
pulled : 132
fine : 132
flatter : 396
find : 132
with : 2508
sincerely : 132
rice : 132
sharp : 132
pressure : 132
sweeping : 132
rich : 132
glanced : 132
nearly : 264
came : 792
the : 17688
amuse : 132
beside : 132
dropping : 132
quite : 132
inhabited : 132
their : 2112
first : 396
river : 132
File name: input/input_06.txt
brave : 132
said : 528
peppering : 132
until : 132
story : 132
over : 264
time : 528
childish : 132
movement : 132
she : 2772
paltry : 132
doesna : 132
bare : 132
black : 396
opened : 132
arthur : 132
these : 528
asked : 132
sprawling : 132
once : 132
told : 528
cleaned : 132
he : 8712
tramping : 132
few : 132
fetched : 132
bit : 396
pocket : 132
he's : 264
downwards : 132
fist : 132
eat : 264
bin : 132
each : 264
big : 132
white-scrubbed : 132
go : 396
cobbled : 132
before : 132
made : 1188
flashed : 132
relief : 132
six : 264
stops : 132
slightly : 132
times : 264
could : 792
usually : 132
life's : 132
conversation : 132
tell : 528
do : 396
man : 396
bear : 132
stood : 264
member : 132
enjoyed : 132
may : 132
sang : 132
moleskin : 132
anxiety : 132
pits : 132
a : 6996
o'clock : 264
incapability : 132
till : 264
talked : 264
fire : 264
sank : 132
i : 660
new : 132
what : 1188
nothing : 396
hammered : 132
yet : 396
lamplighter : 132
stall : 132
drinking : 132
you'd : 132
by : 396
aware : 264
impossible : 132
cuddle : 132
same : 264
long : 132
futility : 132
pretended : 132
who : 396
would : 1452
any : 528
everybody : 396
light : 132
popped : 132
had : 2112
be : 528
dad : 132
spat : 132
get : 396
seeing : 132
watch : 132
crack : 132
strained : 132
far : 132
churlish : 132
much : 132
jollily : 132
and : 8316
lean : 132
near : 264
weary : 132
delicate : 132
colliers : 396
better : 132
often : 264
against : 264
doing : 132
stalk : 132
day : 132
i'm : 132
make : 264
room : 528
does : 132
bunged : 132
morel : 1848
set : 132
husband : 132
taffy's : 132
lavish : 132
lad : 132
notch : 132
sack : 132
lights : 264
straggled : 132
pat : 132
hands : 132
coal : 132
sneezes : 132
coat : 132
all : 660
talk : 264
lay : 924
swung : 132
at : 1188
as : 1188
finished : 132
still : 792
bullying : 132
expected : 132
never : 528
great : 396
which : 264
ran : 396
see : 528
stand : 132
take : 396
i'll : 132
anyone : 132
there : 132
an : 528
off : 264
ticked : 132
brown : 132
manner : 132
boy : 660
why : 132
william : 132
they : 1188
fell : 132
reason : 132
no : 924
scotch : 132
you've : 132
nine : 132
door : 132
bother : 132
of : 7260
burnt : 132
empty : 132
carries : 132
hing : 132
on : 3960
says : 132
only : 132
her : 2772
knife : 132
morel's : 132
heart : 264
or : 792
writhe : 132
done : 132
job : 132
disillusion : 132
vitality : 132
scent : 264
rose : 132
imagined : 132
taffy : 132
sitting : 132
patches : 132
them : 396
then : 2112
silence : 132
ought : 132
trimmed : 132
upon : 132
getting : 132
home : 660
glossy : 132
day's : 132
subject : 132
joy : 264
most : 132
across : 132
remaining : 132
unless : 132
clean : 132
rather : 396
closed : 132
stay : 132
soap--which : 132
red-hot : 132
smallest : 132
don't : 132
denied : 132
my : 1452
clergyman : 132
kettle : 132
grains : 264
telling : 132
cut : 264
standing : 132
nose : 396
closely : 132
you're : 132
second : 132
last : 396
sometimes : 528
entered : 264
him : 924
where : 264
middle : 132
eight : 132
love : 132
almost : 528
more : 132
his : 4224
family : 396
when : 2112
someone : 132
perfectly : 132
resin : 132
clatter : 132
darkness : 132
patiently : 132
live : 132
contract : 132
forfeited : 132
bed : 264
liked : 132
pleasure : 132
dinner : 264
paul : 1584
mother : 528
clusters : 132
stuff : 264
whole : 132
restless : 132
this : 660
tiny : 132
ailed : 132
quick : 132
way : 528
listened : 264
from : 1320
suffered : 264
father : 792
was : 6732
while : 264
sheaf : 132
real : 132
errand : 132
if : 1056
arms : 132
between : 132
lining : 132
is : 528
it : 2244
afternoon : 132
your : 660
play : 132
into : 1056
wheat-straws : 132
growing : 132
loved : 660
in : 4884
know : 132
intent : 132
two : 264
away : 264
hurt : 264
felt : 264
blue : 132
looked : 264
wife : 132
eating : 132
weariness : 132
pit : 132
evenings : 264
found : 132
faint : 132
kicking : 132
they'll : 132
knew : 132
nice : 264
its : 132
ready : 132
eyes : 264
candle : 132
movements : 132
throat : 132
place : 396
snied : 132
alone : 264
piece : 132
turn : 132
going : 396
how : 264
fuse : 132
waiting : 396
always : 1188
rubbed : 132
bottom : 132
hot : 396
own : 264
soiled : 132
silent : 132
machinery : 132
sort : 132
god : 132
saucer--and : 132
next : 132
hob : 132
cushions : 132
use : 132
lengths : 132
run : 132
iron : 660
life : 132
happy : 528
absorbed : 132
chintz : 132
best : 132
hair : 132
red-glowing : 132
later : 132
back : 132
come : 396
us : 132
thumb-nail : 132
fault : 132
young : 264
up : 1056
field : 132
talking : 132
fleshy : 132
gave : 132
feeling : 660
mixture : 132
laid : 132
down : 924
to : 6600
asleep : 132
straw : 396
you'll : 132
endearments : 132
good : 528
round : 132
shoved : 132
meantime : 132
after : 396
skimmed : 132
dearly : 132
metal : 132
considering : 132
dark : 132
taken : 132
fields : 132
shared : 132
burned : 264
unable : 132
so : 528
mouth : 396
friction : 132
gone : 132
providing : 132
difference : 132
palm : 132
that : 1188
ceiling : 132
sound : 264
than : 132
several : 132
got : 132
dawdled : 132
shoves : 132
softly : 264
famous : 132
can : 132
expectation : 132
rifled : 132
about : 924
semi-conscious : 132
children : 1056
hearthrug : 264
well : 132
raced : 132
corn : 132
shut : 264
dirty : 132
four : 132
replied : 132
too : 396
feel : 132
rush : 132
you : 660
soon : 132
thud : 132
actual : 132
dinner-time : 132
tight : 132
dost : 264
gleamed : 132
very : 264
out : 660
competition : 132
suffering : 264
ruined : 132
for : 1980
everything : 132
towards : 132
house : 132
people : 132
went : 924
lamps : 264
thy : 132
transmitted : 132
mile : 132
arm : 264
yourself : 132
headlines : 132
brutal : 132
others : 132
art : 132
atmosphere : 132
did : 528
again : 264
table : 132
like : 264
fair : 132
putting : 132
without : 132
ruddy : 132
many : 132
not : 1320
happened : 132
sat : 528
now : 132
prize : 396
say : 132
jolly : 264
saw : 132
some : 528
straws : 264
cross : 132
crouched : 132
suddenly : 396
put : 264
anxiously : 132
secure : 132
tinier : 132
self : 132
kind : 132
wanted : 132
watched : 264
spit : 132
cloth : 132
words : 132
shouted : 132
highly : 132
mended : 264
pile : 132
mind : 132
glowed : 132
beautifully : 132
boots : 264
just : 132
ball : 132
united : 132
trickle : 132
let : 264
fawce : 132
anguish : 132
should : 132
chair : 132
really : 132
road--out : 132
fall : 132
attack : 132
annie : 132
pots : 132
but : 1716
hated : 264
hate : 132
mother's : 132
hurting : 132
kill : 132
little : 660
dipping : 132
shot : 132
been : 396
heap : 264
vaguely : 132
were : 660
child's : 132
turned : 264
beer : 132
shutting : 132
there's : 132
three : 132
slives : 132
head : 132
presently : 132
work : 264
nasty : 264
sense : 528
shape : 132
saucepan : 132
comes : 264
depended : 132
wants : 396
himself : 264
window : 132
dogged : 132
voices : 132
food : 132
plugged : 132
perhaps : 132
ever : 264
ter : 132
friend : 132
call : 132
stop : 264
warm : 528
other : 264
blast : 132
have : 660
trough : 132
one : 1188
ruining : 132
because : 396
dim : 132
another : 132
fond : 132
dinner-plate : 132
peculiarly : 132
full : 396
wor : 132
ate : 264
mean : 132
they're : 132
won : 264
nothing--about : 132
with : 3168
minutes : 132
sharp : 132
matter : 396
rich : 132
tense : 132
the : 21384
came : 792
swaying : 132
noise : 264
quite : 132
tha : 132
pushed : 132
collier's : 132
started : 132
their : 396
File name: input/input_09.txt
cruising : 132
said : 1980
bright : 132
shrew-faced : 132
such-like : 132
chance : 132
knock : 132
over : 132
time : 132
she : 4356
began : 264
something : 264
black : 396
opened : 132
these : 132
arthur : 264
asked : 396
once : 396
engine : 132
tins : 132
troubled : 132
told : 132
cleaned : 132
patter : 132
he : 6336
miles : 132
meet : 132
few : 132
bit : 528
he's : 132
crossly : 264
sick : 132
eat : 660
each : 132
explain : 132
big : 264
letters : 132
go : 264
seated : 132
before : 132
made : 528
scallop : 132
quiet--he : 132
ignominious : 132
leave : 132
mad : 264
could : 528
grew : 264
left : 132
grey : 132
tell : 132
do : 132
lived : 132
favour : 132
painting : 132
man : 528
numbed : 132
pity : 132
enjoyed : 132
stood : 264
look : 264
may : 132
pits : 132
wearing : 132
a : 6996
hour : 264
morning : 132
till : 132
taking : 132
fire : 132
i : 924
yer : 264
sounded : 132
red : 132
what : 132
clever : 132
bound : 132
yet : 264
body : 132
exchanging : 132
jont : 132
waiting-room : 132
drop : 132
careful : 132
took : 264
by : 528
same : 132
enough : 132
long : 132
gladstone : 132
who : 396
slight : 132
would : 1056
deal : 132
sunsets : 132
any : 132
jam : 132
